Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
71;17844;"Vegetation History and Archaeobotany";journal;"16176278, 09396314";1,019;Q1;62;66;152;5595;386;148;2,27;84,77;United States;Northern America;"Springer New York";"1992-2020";"Archeology (arts and humanities) (Q1); Paleontology (Q1); Plant Science (Q1)"
72;21100285035;"AoB PLANTS";journal;"20412851";0,998;Q1;39;57;229;4203;678;229;2,85;73,74;United Kingdom;Western Europe;"Oxford University Press";"2009, 2011-2020";"Plant Science (Q1)"
73;19700166901;"Fungal Biology";journal;"18786146";0,973;Q1;103;111;298;6685;985;297;3,13;60,23;Netherlands;Western Europe;"Elsevier";"2010-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1); Genetics (Q2); Infectious Diseases (Q2)"
74;4700152418;"Journal of Plant Interactions";journal;"17429153, 17429145";0,964;Q1;40;41;187;2532;833;187;4,21;61,76;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2005, 2007-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
75;21100863819;"Journal of Integrated Pest Management";journal;"21557470";0,962;Q1;24;5;82;551;231;82;2,33;110,20;United Kingdom;Western Europe;"Oxford University Press";"2010-2020";"Agronomy and Crop Science (Q1); Insect Science (Q1); Management, Monitoring, Policy and Law (Q1); Plant Science (Q1)"
76;16614;"Plant Pathology";journal;"00320862, 13653059";0,928;Q1;85;155;506;6940;1323;499;2,46;44,77;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1952-2020";"Agronomy and Crop Science (Q1); Horticulture (Q1); Plant Science (Q1); Genetics (Q2)"
77;21100244807;"Algae";journal;"20930860, 12262617";0,920;Q1;22;30;84;1508;285;77;2,41;50,27;South Korea;Asiatic Region;"The Korean Society of Phycology";"2013-2020";"Aquatic Science (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
78;16603;"Plant Growth Regulation";journal;"15735087, 01676903";0,919;Q1;101;123;356;8161;1108;355;3,10;66,35;Netherlands;Western Europe;"Springer Netherlands";"1967, 1982, 1984-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1); Physiology (Q2)"
79;18565;"Functional Plant Biology";journal;"14454408, 14454416";0,917;Q1;116;115;320;7416;917;320;2,83;64,49;Australia;Pacific Region;"CSIRO";"2002-2020";"Agronomy and Crop Science (Q1); Plant Science (Q1)"
80;19814;"Mycologia";journal;"00275514, 15572536";0,915;Q1;110;83;240;4595;563;238;2,31;55,36;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1945-1949, 1960, 1965-1980, 1982, 1985, 1988-2020";"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1); Genetics (Q2); Medicine (miscellaneous) (Q2); Physiology (Q2); Cell Biology (Q3); Molecular Biology (Q3)"
