Rank;Sourceid;Title;Type;Issn;SJR;SJR Quartile;H index;Total Docs. (2020);Total Docs. (3years);Total Refs.;Total Cites (3years);Citable Docs. (3years);Cites / Doc. (2years);Ref. / Doc.;Country;Region;Publisher;Coverage;Categories
147;23273;"International Journal of Phytoremediation";journal;"15497879, 15226514";0,617;Q2;84;195;471;10682;1510;469;2,94;54,78;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1994, 1996-2020";"Plant Science (Q2); Pollution (Q2); Environmental Chemistry (Q3)"
148;21100823384;"Annals of Agricultural Sciences";journal;"05701783";0,614;Q2;28;29;84;1661;259;84;3,25;57,28;Egypt;Africa/Middle East;"Faculty of Agriculture, Ain-Shams University";"2011-2020";"Horticulture (Q1); Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Food Science (Q2); Plant Science (Q2); Soil Science (Q2)"
149;18024;"European Journal of Plant Pathology";journal;"09291873, 15738469";0,614;Q2;93;263;852;10834;1568;843;1,78;41,19;Netherlands;Western Europe;"Springer Netherlands";"1994-2020";"Horticulture (Q1); Agronomy and Crop Science (Q2); Plant Science (Q2)"
150;17910;"Cryptogamie, Algologie";journal;"01811568";0,607;Q2;33;12;53;488;99;52;1,57;40,67;France;Western Europe;"A.D.A.C.";"1990-2020";"Aquatic Science (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
151;17999;"Edinburgh Journal of Botany";journal;"14740036, 09604286";0,606;Q2;28;17;76;497;77;75;1,19;29,24;United Kingdom;Western Europe;"Cambridge University Press";"1990-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
152;17288;"Sydowia";journal;"00820598";0,603;Q2;29;17;47;765;60;47;1,30;45,00;Austria;Western Europe;"Verlag Ferdinand Berger und Sohne GmbH";"1996-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
153;16641;"Acta Physiologiae Plantarum";journal;"18611664, 01375881";0,602;Q2;71;181;682;10270;1630;682;2,28;56,74;Poland;Eastern Europe;"Polish Academy of Sciences";"1985, 1987-1988, 1993-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2); Physiology (Q3)"
154;19900192437;"Bulletin of the Peabody Museum of Natural History";journal;"21624135, 0079032X";0,589;Q2;16;6;28;488;49;28;1,25;81,33;United States;Northern America;"Peabody Museum of Natural History";"2010-2020";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
155;16579;"Plant Breeding";journal;"14390523, 01799541";0,583;Q2;71;113;291;6275;529;291;1,73;55,53;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2); Genetics (Q3)"
156;21100867262;"Italian Botanist";journal;"25314033";0,577;Q2;17;15;50;647;121;50;3,14;43,13;Bulgaria;Eastern Europe;"Pensoft Publishers";"1999-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
157;14227;"Plant Molecular Biology Reporter";journal;"07359640, 1556469X";0,577;Q2;61;68;170;3830;285;170;1,53;56,32;United States;Northern America;"Springer New York";"1983-2020";"Plant Science (Q2); Molecular Biology (Q3)"
158;16578;"Plant Biosystems";journal;"17245575, 11263504";0,575;Q2;49;230;351;12828;862;350;2,78;55,77;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1993, 1997-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
159;16533;"Phytochemical Analysis";journal;"09580344, 10991565";0,574;Q2;72;112;201;4284;594;198;3,01;38,25;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1990-2020";"Complementary and Alternative Medicine (Q1); Analytical Chemistry (Q2); Drug Discovery (Q2); Food Science (Q2); Medicine (miscellaneous) (Q2); Plant Science (Q2); Biochemistry (Q3); Molecular Medicine (Q3)"
160;21100207006;"Horticulture Environment and Biotechnology";journal;"22113460, 22113452";0,565;Q2;24;98;248;4193;499;248;1,98;42,79;South Korea;Asiatic Region;"Springer Science + Business Media";"2011-2020";"Horticulture (Q1); Biotechnology (Q2); Plant Science (Q2)"
161;21100394793;"Plant Health Progress";journal;"15351025";0,565;Q2;9;67;158;1652;203;158;0,94;24,66;United States;Northern America;"Plant Management Network";"2014-2020";"Horticulture (Q1); Plant Science (Q2)"
162;19207;"Journal of Bryology";journal;"17432820, 03736687";0,562;Q2;34;40;128;1726;155;115;1,24;43,15;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
163;62653;"Seed Science Research";journal;"14752735, 09602585";0,559;Q2;64;47;102;2612;207;101;1,87;55,57;United Kingdom;Western Europe;"Cambridge University Press";"1991-2020";"Plant Science (Q2)"
164;19211;"Journal of General Plant Pathology";journal;"13452630, 1610739X";0,557;Q2;34;78;188;1991;252;182;1,31;25,53;Japan;Asiatic Region;"Springer Japan";"2001, 2004-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2)"
165;21100366771;"Journal of Applied Research on Medicinal and Aromatic Plants";journal;"22147861";0,556;Q2;20;41;141;2008;462;138;3,48;48,98;Germany;Western Europe;"Elsevier GmbH";"2014-2020";"Plant Science (Q2); Drug Discovery (Q3)"
166;18094;"Flora: Morphology, Distribution, Functional Ecology of Plants";journal;"03672530";0,549;Q2;56;133;450;7749;900;448;2,00;58,26;Germany;Western Europe;"Urban und Fischer Verlag Jena";"1975-1976, 1980-1988, 1990-2020";"Ecology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
167;18652;"IAWA Journal";journal;"22941932, 09281541";0,544;Q2;51;45;105;2316;213;101;2,08;51,47;Netherlands;Western Europe;"Brill Academic Publishers";"1980-1989, 1993-2020";"Forestry (Q2); Plant Science (Q2)"
168;18544;"Folia Geobotanica";journal;"18749348, 12119520";0,543;Q2;46;20;94;1260;165;92;1,38;63,00;Netherlands;Western Europe;"Springer Netherlands";"1994-2020";"Paleontology (Q2); Plant Science (Q2)"
169;35872;"American Journal of Potato Research";journal;"18749380, 1099209X";0,542;Q2;48;58;195;2504;290;191;1,49;43,17;United States;Northern America;"Potato Association of America";"1998-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2)"
170;16768;"Australasian Plant Pathology";journal;"08153191, 14486032";0,537;Q2;54;76;208;2985;348;205;1,54;39,28;Netherlands;Western Europe;"Springer Netherlands";"1978-2020";"Plant Science (Q2)"
171;21100773804;"Ecologica Montenegrina";journal;"23370173, 23369744";0,534;Q2;10;110;197;2381;184;164;1,03;21,65;Montenegro;Eastern Europe;"";"2014-2020";"Animal Science and Zoology (Q2); Ecology, Evolution, Behavior and Systematics (Q2); Insect Science (Q2); Plant Science (Q2)"
172;21100781511;"Agriculture (Switzerland)";journal;"20770472";0,533;Q2;28;646;560;36094;1688;552;3,05;55,87;Switzerland;Western Europe;"MDPI Multidisciplinary Digital Publishing Institute";"2011-2014, 2016-2020";"Agronomy and Crop Science (Q2); Food Science (Q2); Plant Science (Q2)"
173;19226;"Journal of Phytopathology";journal;"09311785, 14390434";0,530;Q2;60;75;259;3062;444;258;1,72;40,83;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1958-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2); Genetics (Q3); Physiology (Q3)"
174;21100197355;"Mycobiology";journal;"12298093, 20929323";0,526;Q2;25;65;172;2461;371;168;1,98;37,86;South Korea;Asiatic Region;"Korean Society of Mycology";"2011-2020";"Plant Science (Q2); Infectious Diseases (Q3); Microbiology (Q3)"
175;17251;"Biologia Plantarum";journal;"15738264, 00063134";0,521;Q2;79;66;269;3448;493;268;1,56;52,24;Netherlands;Western Europe;"Springer Netherlands";"1959-2020";"Horticulture (Q1); Plant Science (Q2)"
176;21100334898;"Theoretical and Experimental Plant Physiology";journal;"21970025";0,517;Q2;15;27;84;1639;147;84;1,73;60,70;United States;Northern America;"Springer Science + Business Media";"2014-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2)"
177;16536;"Phytocoenologia";journal;"0340269X";0,514;Q2;34;16;74;1180;116;68;1,92;73,75;Germany;Western Europe;"Gebruder Borntraeger Verlagsbuchhandlung";"1987, 1989, 1996-2020";"Plant Science (Q2)"
178;21100332243;"PhytoKeys";journal;"13142003, 13142011";0,511;Q2;16;191;352;6557;463;347;1,29;34,33;Bulgaria;Eastern Europe;"Pensoft Publishers";"2014-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
179;21100356807;"Current Plant Biology";journal;"22146628";0,510;Q2;16;51;75;3149;159;65;2,15;61,75;Netherlands;Western Europe;"Elsevier BV";"2014-2020";"Plant Science (Q2); Biochemistry (Q3); Genetics (Q3); Cell Biology (Q4); Developmental Biology (Q4)"
180;17291;"Systematic Botany";journal;"15482324, 03636445";0,507;Q2;74;65;237;2580;298;236;1,09;39,69;United States;Northern America;"American Society of Plant Taxonomists Inc.";"1994-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2); Genetics (Q3)"
181;17257;"South African Journal of Botany";journal;"02546299";0,504;Q2;59;441;953;23684;2394;947;2,29;53,71;Netherlands;Western Europe;"Elsevier";"1982-1986, 1988-1990, 1993-2020";"Plant Science (Q2)"
182;11600153402;"Plant Biotechnology Reports";journal;"18635474, 18635466";0,502;Q2;34;70;145;3373;261;143;1,92;48,19;Japan;Asiatic Region;"Springer Japan";"2008-2020";"Plant Science (Q2); Biotechnology (Q3)"
183;17374;"Bryologist";journal;"00072745";0,499;Q2;49;38;119;1861;139;119;1,22;48,97;United States;Northern America;"American Bryological and Lichenological Society Inc.";"1981-1985, 1990-2020";"Ecology, Evolution, Behavior and Systematics (Q2); Plant Science (Q2)"
184;18669;"In Vitro Cellular and Developmental Biology - Plant";journal;"14752689, 10545476";0,495;Q2;70;96;201;4457;428;200;2,17;46,43;United States;Northern America;"Springer New York";"1985, 1991-2020";"Plant Science (Q2); Biotechnology (Q3); Cell Biology (Q4); Developmental Biology (Q4)"
185;12000154479;"Phytopathologia Mediterranea";journal;"00319465, 15932095";0,493;Q2;46;37;139;1825;248;130;1,83;49,32;Italy;Western Europe;"Firenze University Press";"1999-2020";"Agronomy and Crop Science (Q2); Horticulture (Q2); Plant Science (Q2)"
186;17995;"Economic Botany";journal;"00130001, 18749364";0,491;Q2;70;29;98;2185;167;96;1,57;75,34;United States;Northern America;"Springer New York";"1947-2020";"Horticulture (Q2); Plant Science (Q2)"
187;19900193811;"Comparative Cytogenetics";journal;"1993078X, 19930771";0,490;Q2;20;35;110;2077;178;109;1,52;59,34;Bulgaria;Eastern Europe;"Pensoft Publishers";"2010-2020";"Animal Science and Zoology (Q2); Plant Science (Q2); Biotechnology (Q3); Genetics (Q3)"
188;14500154715;"Tropical Plant Biology";journal;"19359764, 19359756";0,482;Q2;24;32;58;2146;97;58;1,61;67,06;United States;Northern America;"Springer New York";"2009-2020";"Plant Science (Q2); Genetics (Q3)"
189;16582;"Plant Biotechnology";journal;"13476114, 13424580";0,481;Q2;40;68;119;1981;135;93;1,09;29,13;Japan;Asiatic Region;"Japanese Society for Plant Cell and Molecular Biology";"1997-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2); Biotechnology (Q3)"
190;24819;"Natural Product Research";journal;"14786427, 14786419";0,478;Q2;51;1319;1926;26355;4204;1916;2,06;19,98;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2003-2020";"Analytical Chemistry (Q2); Plant Science (Q2); Biochemistry (Q3); Organic Chemistry (Q3)"
191;80601;"New Zealand Journal of Agricultural Research";journal;"00288233, 11758775";0,478;Q2;45;64;99;2988;175;98;1,65;46,69;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1958-2020";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Plant Science (Q2); Soil Science (Q2)"
192;19300157101;"Invasive Plant Science and Management";journal;"1939747X, 19397291";0,477;Q2;30;33;95;1847;113;94;1,12;55,97;United States;Northern America;"Cambridge University Press";"2008-2020";"Plant Science (Q2)"
193;17265;"Blumea: Journal of Plant Taxonomy and Plant Geography";journal;"00065196";0,476;Q2;25;27;70;784;69;70;0,96;29,04;Netherlands;Western Europe;"National Herbarium Nederland";"1993-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
194;22164;"Genetic Resources and Crop Evolution";journal;"09259864, 15735109";0,475;Q2;66;159;453;7873;756;451;1,55;49,52;Netherlands;Western Europe;"Springer Netherlands";"1992-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3); Genetics (Q3)"
195;4800153106;"Acta Botanica Brasilica";journal;"01023306";0,474;Q2;47;56;221;3103;353;221;1,33;55,41;Brazil;Latin America;"Sociedade Botanica de Sao Paulo";"1997-2020";"Plant Science (Q2)"
196;86937;"California Agriculture";journal;"10970967, 00080845";0,472;Q2;25;23;110;489;101;88;0,83;21,26;United States;Northern America;"California Agricultural Experiment Station";"1973-1975, 1979, 1981-1982, 1985, 2008-2020";"Agronomy and Crop Science (Q2); Forestry (Q2); Plant Science (Q2)"
197;21100416511;"Ethnobiology and Conservation";journal;"22384782";0,468;Q2;16;42;47;2852;96;47;2,00;67,90;Brazil;Latin America;"Universidade Federal Rural de Pernambuco";"2012-2021";"Anthropology (Q1); Animal Science and Zoology (Q2); Ecology (Q2); Nature and Landscape Conservation (Q2); Plant Science (Q2)"
198;19600161803;"Annals of Forest Research";journal;"18448135, 20652445";0,466;Q2;18;14;55;841;98;54;1,41;60,07;Romania;Eastern Europe;"Editura Silvica";"2009-2020";"Ecology (Q2); Forestry (Q2); Plant Science (Q2)"
199;16787;"Australian Systematic Botany";journal;"10301887";0,466;Q2;39;22;90;1724;101;86;1,12;78,36;Australia;Pacific Region;"CSIRO";"1988-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
200;4700151610;"Journal of Plant Diseases and Protection";journal;"18613829, 18613837";0,465;Q2;25;111;211;4525;380;208;1,85;40,77;Germany;Western Europe;"Springer International Publishing AG";"2006-2020";"Agronomy and Crop Science (Q2); Horticulture (Q2); Plant Science (Q2)"
201;21100244628;"Journal of Berry Research";journal;"18785093, 18785123";0,464;Q2;25;43;96;2177;207;95;2,17;50,63;Netherlands;Western Europe;"IOS Press";"2010-2020";"Agronomy and Crop Science (Q2); Food Science (Q2); Horticulture (Q2); Plant Science (Q2); Soil Science (Q2); Biochemistry (Q3)"
202;19272;"Kew Bulletin";journal;"1874933X, 00755974";0,462;Q2;31;64;173;2138;164;171;0,96;33,41;United Kingdom;Western Europe;"Springer London";"1993-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
203;12300154714;"Botany";journal;"19162790, 19162804";0,458;Q2;84;64;242;3307;315;220;1,24;51,67;Canada;Northern America;"National Research Council of Canada";"2008-2020";"Ecology (Q2); Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
204;17323;"Bothalia";journal;"23119284, 00068241";0,457;Q2;20;10;95;301;186;94;0,79;30,10;South Africa;Africa;"AOSIS (Pty) Ltd";"1978, 1993-2019";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
205;5600152812;"International Journal of Plant Genomics";journal;"16875389, 16875370";0,454;Q2;30;0;3;0;7;3;0,00;0,00;United States;Northern America;"Hindawi Publishing Corporation";"2007-2017";"Plant Science (Q2); Genetics (Q4)"
206;19700168908;"Egyptian Journal of Biological Pest Control";journal;"11101768";0,453;Q2;13;143;231;5105;427;229;2,06;35,70;Egypt;Africa/Middle East;"Egyptian Society for Biological Control of Pests";"2008-2020";"Agronomy and Crop Science (Q2); Ecology (Q2); Plant Science (Q2); Insect Science (Q3)"
207;17300;"Botanica Marina";journal;"00068055, 14374323";0,451;Q2;56;46;161;2699;265;155;1,62;58,67;Germany;Western Europe;"Walter de Gruyter GmbH";"1959-2020";"Plant Science (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
208;5800208320;"Journal of Ethnobiology";journal;"02780771";0,446;Q2;26;35;102;2237;152;101;1,30;63,91;United States;Northern America;"Society of Ethnobiology";"2005-2020";"Anthropology (Q1); Animal Science and Zoology (Q2); Plant Science (Q2)"
209;21100209326;"Phytotaxa";journal;"11793163, 11793155";0,443;Q2;36;985;2769;36588;2728;2349;0,98;37,15;New Zealand;Pacific Region;"Magnolia Press";"2010-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
210;15601;"Gayana - Botanica";journal;"00165301, 07176643";0,442;Q2;16;7;86;220;90;85;1,21;31,43;Chile;Latin America;"Universidad de Concepcion";"1981-1982, 1984, 2002-2019";"Ecology (Q2); Horticulture (Q2); Plant Science (Q2)"
211;21100200424;"Rodriguesia";journal;"03706583, 21757860";0,442;Q2;32;135;420;5602;411;419;1,21;41,50;Brazil;Latin America;"Rio de Janeiro Botanical Garden";"1980-1981, 1984-1985, 1989, 1999-2020";"Horticulture (Q2); Plant Science (Q2)"
212;18630;"Haseltonia";journal;"10700048";0,440;Q2;12;26;36;724;25;35;0,68;27,85;United States;Northern America;"Cactus and Succulent Society of America, Inc.";"2002, 2004-2010, 2012, 2014-2018, 2020";"Plant Science (Q2)"
213;21100247800;"Phycological Research";journal;"13220829, 14401835";0,438;Q2;44;38;115;1556;203;114;1,65;40,95;United States;Northern America;"John Wiley and Sons Inc.";"1995, 1997-2020";"Agricultural and Biological Sciences (miscellaneous) (Q2); Plant Science (Q2); Aquatic Science (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Physiology (Q4)"
214;19400157217;"International Journal of Plant Production";journal;"17358043, 17356814";0,431;Q2;28;54;98;2615;176;98;1,93;48,43;Switzerland;Western Europe;"Springer International Publishing AG";"2008-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2)"
215;19300156812;"Folia Cryptogamica Estonica";journal;"17367786, 14062070";0,430;Q2;13;11;45;589;53;45;1,36;53,55;Estonia;Eastern Europe;"Estonian Naturalists' Society";"2009-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
216;33410;"Phytoparasitica";journal;"03342123";0,430;Q2;44;87;200;4075;261;199;1,32;46,84;Netherlands;Western Europe;"Springer Netherlands";"1973-2020";"Plant Science (Q2); Insect Science (Q3)"
217;17500155003;"Records of Natural Products";journal;"13076167";0,430;Q2;31;49;215;1263;387;214;1,80;25,78;Turkey;Middle East;"ACG Publications";"2009-2021";"Plant Science (Q2); Drug Discovery (Q3); Organic Chemistry (Q3); Pharmacology (Q3)"
218;11300153405;"Phytochemistry Letters";journal;"18767486, 18743900";0,429;Q2;38;186;720;5078;1242;719;1,65;27,30;Netherlands;Western Europe;"Elsevier BV";"2008-2020";"Agronomy and Crop Science (Q2); Plant Science (Q2); Biochemistry (Q3); Biotechnology (Q3)"
219;16784;"Australian Journal of Botany";journal;"00671924, 14449862";0,425;Q2;68;57;178;4010;240;178;1,17;70,35;Australia;Pacific Region;"CSIRO";"1953-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
220;19700175482;"Plant Ecology and Evolution";journal;"20323913, 20323921";0,422;Q2;23;42;120;2249;140;115;1,10;53,55;Belgium;Western Europe;"Societe Royale de Botanique de Belgique";"2010-2020";"Plant Science (Q2)"
221;17169;"Russian Journal of Plant Physiology";journal;"16083407, 10214437";0,421;Q2;46;121;309;4421;477;309;1,48;36,54;United States;Northern America;"Pleiades Publishing";"1996-2020";"Plant Science (Q2)"
222;23028;"New Zealand Journal of Forestry Science";journal;"11795395, 00480134";0,419;Q2;29;14;56;802;74;56;1,38;57,29;Switzerland;Western Europe;"Scion Publishing";"1979, 1981, 1983-2020";"Chemical Engineering (miscellaneous) (Q2); Forestry (Q2); Plant Science (Q2); Ecology (Q3)"
223;16621;"Plant Species Biology";journal;"0913557X, 14421984";0,419;Q2;36;39;107;2006;139;92;0,93;51,44;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1986-2020";"Plant Science (Q2); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3)"
224;16209;"Acta Botanica Hungarica";journal;"15882578, 02366495";0,417;Q2;19;22;67;800;71;67;1,09;36,36;Hungary;Eastern Europe;"Akademiai Kiado";"1986-1989, 2001-2004, 2007-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
225;97492;"Archives Animal Breeding";journal;"00039438, 23639822";0,417;Q2;30;50;174;2005;294;173;1,54;40,10;Germany;Western Europe;"Forschungsinstitut fuer die Biologie Landwirtschaftlicher Nutztiere";"1999-2020";"Agronomy and Crop Science (Q2); Animal Science and Zoology (Q2); Plant Science (Q2); Food Animals (Q3); Genetics (Q4)"
226;22171;"Genetica";journal;"00166707, 15736857";0,414;Q2;87;26;139;1632;180;139;1,08;62,77;Netherlands;Western Europe;"Springer Netherlands";"1919-1941, 1943, 1949-2020";"Animal Science and Zoology (Q2); Plant Science (Q2); Insect Science (Q3); Medicine (miscellaneous) (Q3); Genetics (Q4)"
227;19943;"Nova Hedwigia";journal;"14389134, 00295035";0,412;Q2;40;47;192;2268;175;190;0,81;48,26;Germany;Western Europe;"Gebruder Borntraeger Verlagsbuchhandlung";"1993-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
228;19700182353;"North American Fungi";journal;"1937786X";0,411;Q2;11;0;5;0;4;5;1,50;0,00;United States;Northern America;"Pacific Northwest Fungi Project";"2010-2018";"Plant Science (Q2)"
229;17878;"Willdenowia";journal;"05119618";0,408;Q2;15;14;98;1187;92;98;0,94;84,79;Germany;Western Europe;"Botanischer Garten und Botanisches Museum Berlin-Dahlem";"1985-1989, 1991-1997, 2011-2020";"Plant Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3)"
230;21100394230;"Horticulture Journal";journal;"21890102, 21890110";0,406;Q3;36;73;195;2645;210;194;1,00;36,23;Japan;Asiatic Region;"Japanese Society for Horticultural Science";"2015-2020";"Horticulture (Q2); Plant Science (Q3)"
231;18604;"Grana";journal;"00173134, 16512049";0,403;Q3;38;46;106;2633;145;101;1,32;57,24;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1970-1974, 1978-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
232;20441;"Tuexenia";journal;"0722494X";0,403;Q3;16;27;27;1625;36;26;1,33;60,19;Germany;Western Europe;"The Floristisch-soziologische Arbeitsgemeinschaft";"1985, 2011-2018";"Ecology (Q3); Management, Monitoring, Policy and Law (Q3); Nature and Landscape Conservation (Q3); Plant Science (Q3)"
233;21100439337;"Acta Agrobotanica";journal;"2300357X, 00650951";0,400;Q3;9;26;95;853;118;93;1,22;32,81;Poland;Eastern Europe;"Polish Botanical Society";"1953-1962, 1964-1979, 1987, 2013-2020";"Agronomy and Crop Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
234;21100775937;"Botany Letters";journal;"23818107, 23818115";0,398;Q3;19;49;138;2551;172;125;1,52;52,06;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2016-2020";"Plant Science (Q3)"
235;21100246535;"Lankesteriana";journal;"14093871, 22152067";0,398;Q3;13;25;66;617;42;65;0,36;24,68;Costa Rica;Latin America;"Universidad de Costa Rica";"2004-2007, 2013-2020";"Plant Science (Q3)"
236;19500157812;"Legume Research";journal;"02505371, 09760571";0,397;Q3;13;141;468;3428;337;468;0,63;24,31;India;Asiatic Region;"Agricultural Research Communication Centre";"2008-2020";"Agronomy and Crop Science (Q2); Plant Science (Q3); Soil Science (Q3)"
237;21100433106;"Journal of Asia-Pacific Biodiversity";journal;"22879544, 2287884X";0,396;Q3;15;106;275;3683;287;275;0,92;34,75;South Korea;Asiatic Region;"Korean Biodiversity Information Facility";"2013-2020";"Animal Science and Zoology (Q3); Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Insect Science (Q3); Plant Science (Q3)"
238;8600153101;"Horticultura Brasileira";journal;"18069991, 01020536";0,395;Q3;22;66;243;1738;225;239;0,83;26,33;Brazil;Latin America;"Sociedade de Olericultura do Brasil";"2007-2020";"Horticulture (Q2); Plant Science (Q3); Soil Science (Q3)"
239;18700156715;"Grassland Science";journal;"1744697X, 17446961";0,388;Q3;19;49;91;1874;148;91;1,47;38,24;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2009-2020";"Agronomy and Crop Science (Q2); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
240;21100463095;"Acta Mycologica";journal;"2353074X, 0001625X";0,380;Q3;5;19;42;1121;39;42;0,96;59,00;Poland;Eastern Europe;"Polish Botanical Society";"2015-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
241;145635;"Candollea";journal;"03732967";0,376;Q3;17;25;76;582;41;75;0,48;23,28;Switzerland;Western Europe;"Editions des Conservatoire et Jardin Botanique";"2000, 2003-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
242;73453;"Journal of Crop Improvement";journal;"15427528, 15427536";0,372;Q3;39;66;145;3107;194;145;1,39;47,08;United States;Northern America;"Taylor and Francis Ltd.";"2004-2020";"Agronomy and Crop Science (Q2); Plant Science (Q3); Soil Science (Q3); Genetics (Q4)"
243;17948;"Dendrobiology";journal;"16411307";0,371;Q3;19;18;76;876;96;76;0,98;48,67;Poland;Eastern Europe;"Polska Akademia Nauk";"2000-2001, 2004-2020";"Forestry (Q2); Plant Science (Q3)"
244;4700153104;"Revista Brasileira de Botanica";journal;"01008404";0,367;Q3;32;98;254;4910;337;253;1,22;50,10;Switzerland;Western Europe;"Springer International Publishing AG";"2006-2020";"Plant Science (Q3)"
245;19862;"Mycotaxon";journal;"00934666";0,366;Q3;42;20;211;537;88;204;0,40;26,85;United States;Northern America;"Mycotaxon Ltd";"1989, 1996-2020";"Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
246;4700152500;"Revista Brasileira de Fruticultura";journal;"01002945";0,365;Q3;28;64;286;1977;259;286;0,84;30,89;Brazil;Latin America;"Sociedade Brasileira de Fruticultura";"2006-2020";"Agronomy and Crop Science (Q2); Food Science (Q3); Plant Science (Q3)"
247;19500157804;"Australasian Plant Disease Notes";journal;"1833928X";0,363;Q3;15;43;142;641;123;142;0,83;14,91;Netherlands;Western Europe;"CSIRO";"2009-2020";"Agronomy and Crop Science (Q3); Plant Science (Q3)"
248;19238;"Journal of Plant Pathology";journal;"11254653";0,362;Q3;47;288;551;5609;496;363;0,81;19,48;Italy;Western Europe;"Edizioni E.T.S.";"1997-2020";"Plant Science (Q3)"
249;17819;"Tropical Ecology";journal;"05643295";0,362;Q3;32;55;161;2910;185;161;1,05;52,91;India;Asiatic Region;"International Society for Tropical Ecology";"1976-1978, 1988, 1993-2020";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
250;85440;"Flora Mediterranea";journal;"11204052";0,361;Q3;10;24;84;1067;78;84;0,97;44,46;Italy;Western Europe;"Herbarium Mediterraneum Panormitanum";"1991-1994, 2012-2020";"Plant Science (Q3)"
251;17865;"Webbia";journal;"00837792";0,360;Q3;20;0;105;0;90;102;0,80;0,00;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1905, 1907, 1910, 1913-1914, 1921, 1923, 1948, 1950-2019";"Ecology (Q3); Ecology, Evolution, Behavior and Systematics (Q3); Plant Science (Q3)"
252;98776;"Journal of Applied Botany and Food Quality";journal;"16139216";0,357;Q3;37;23;135;909;195;134;1,37;39,52;Germany;Western Europe;"Druckerei und Verlag Liddy Halm";"2004-2020";"Food Science (Q3); Plant Science (Q3)"
